50 50
1 2 38550
2 3 78100
3 4 23380
4 5 93160
5 6 84530
6 7 80920
7 8 83350
8 9 69920
9 10 77560
10 11 15340
10 46 91550
11 12 510
12 13 29980
13 14 42820
14 15 50470
15 16 52210
16 17 22900
17 18 72130
18 19 47880
19 20 22080
20 21 86010
21 22 19500
22 23 45630
23 24 47830
24 25 89960
25 26 5820
26 27 44850
27 28 47440
28 29 95190
29 30 16230
30 31 13240
31 32 14020
32 33 60440
33 34 65660
34 35 3110
35 36 72440
36 37 280
37 38 30
38 39 77070
39 40 13310
40 41 16030
41 42 94260
42 43 54950
43 44 82980
44 45 54330
45 46 54070
46 47 38210
47 48 78560
48 49 2060
49 50 6910
1 50
